id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category
BP-TRAD-001,Conjunto Impermeable Tradicional 4 Piezas,"Conjunto impermeable para moto de 4 piezas: chaqueta con capota, pantalon bota recta, zapatones ajustables y bolsa para guardarlo. Fabricado en PVC siliconado calibre 8 con costura TERMOSELLADA, por eso el agua no se filtra por las puntadas. TALLAS: S, M, L, XL, 2XL y 3XL — pedi una talla mas de la que usas normalmente, porque va encima de la ropa. El conjunto es NEGRO y elegis el color de la franja reflectiva entre blanco, negro, rojo, verde, morado o azul. No tiene bolsillos, a proposito, para que no entre agua. Precio del conjunto: 59.900 + envio segun tu ciudad. PAGAS AL RECIBIR.",in stock,new,59900 COP,https://mtavera99.github.io/impermeables/,https://mtavera99.github.io/impermeables/img/conjunto-estudio.jpg,"https://mtavera99.github.io/impermeables/img/conjunto-calle.jpg,https://mtavera99.github.io/impermeables/img/conjunto-espalda.jpg,https://mtavera99.github.io/impermeables/img/franjas-colores.jpg",BikerPro,Apparel & Accessories
BP-TRAD-2X,Promo 2 Conjuntos Impermeables Tradicionales,"DOS conjuntos impermeables de 4 piezas (chaqueta con capota, pantalon, zapatones y bolsa) al precio de promocion. Los dos van en el MISMO paquete, asi que pagas un solo envio y te ahorras entre 9.000 y 14.000 pesos contra comprarlos por separado. PVC siliconado calibre 8 termosellado. TALLAS: S a 3XL, podes pedir dos tallas distintas. Franja reflectiva en 6 colores a elegir para cada uno. Ideal para la pareja o para tener uno de repuesto. PAGAS AL RECIBIR.",in stock,new,110000 COP,https://mtavera99.github.io/impermeables/,https://mtavera99.github.io/impermeables/img/franjas-colores.jpg,"https://mtavera99.github.io/impermeables/img/conjunto-estudio.jpg,https://mtavera99.github.io/impermeables/img/conjunto-calle.jpg",BikerPro,Apparel & Accessories
BP-COLMENA-001,Impermeable Premium Colmena con Forro Interno,"Conjunto impermeable PREMIUM linea Colmena: chaqueta, pantalon y zapatones. Su diferencia esta en el FORRO INTERNO, que lo hace mas comodo y abrigado que el tradicional — es la gama alta. Material en lona con textura tipo colmena. TALLAS: S, M, L, XL y 2XL (esta linea no llega a 3XL). ENVIO YA INCLUIDO en el precio: 149.900 y no pagas nada mas. PAGAS AL RECIBIR.",in stock,new,149900 COP,https://mtavera99.github.io/impermeables/,https://mtavera99.github.io/impermeables/img/modelo.png,,BikerPro,Apparel & Accessories
