estado,detalle,ciudad,fecha,recaudo,flete,transportadora
FINALIZADA,Entrega Exitosa,BUENAVISTA (COR),46237,82363,22363,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,VILLANUEVA (C),46235,82363,22363,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,BARRANQUILLA,46235,80558,20558,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,PUERTO BOYACA,46235,143784,23784,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,BOGOTA,46235,73266,13266,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,PUERTO LOPEZ,46235,76048,16048,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,APIA,46235,151375,31375,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,BOGOTA,46235,73266,13266,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,CARTAGENA,46235,80558,20558,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,IZA,46235,82363,22363,INTERRAPIDISIMO
PAGADA,Devuelto al Remitente,BUCARAMANGA,46235,80558,20558,INTERRAPIDISIMO
TRANSITO,Para Reclamar en Oficina,MEDELLIN,46235,148670,28670,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,MEDELLIN,46234,80558,20558,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,CARTAGENA,46234,80558,20558,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,SAN ANDRES DE CUERQUIA,46234,82363,22363,INTERRAPIDISIMO
FINALIZADA,Devuelto al Remitente,SANTA ROSA DE LIMA,46234,82363,22363,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,BOGOTA,46234,73266,13266,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,FUENTE DE ORO,46233,82363,22363,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,RIONEGRO (ANT),46233,148670,28670,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,PUERTO GAITAN,46233,82363,22363,INTERRAPIDISIMO
PAGADA,Devuelto al Remitente,ARJONA B,46233,82363,22363,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,SESQUILE,46233,76048,16048,INTERRAPIDISIMO
PAGADA,Devuelto al Remitente,CARTAGENA,46232,80558,20558,INTERRAPIDISIMO
PAGADA,Devuelto al Remitente,BARRANQUILLA,46232,80558,20558,INTERRAPIDISIMO
PAGADA,Devuelto al Remitente,MARINILLA,46232,148670,28670,INTERRAPIDISIMO
PAGADA,Devuelto al Remitente,MEDELLIN,46232,80558,20558,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,TUNJA,46232,76048,16048,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,CARTAGENA,46232,80558,20558,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,CHIA,46232,73266,13266,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,YOPAL,46231,526698,76698,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,CAUCASIA,46231,82363,22363,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,MEDELLIN,46230,80558,20558,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,SUPIA,46230,82363,22363,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,SINCE,46230,88376,28376,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,BUENAVENTURA,46230,148670,28670,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,FLORIDA,46230,148670,28670,INTERRAPIDISIMO
FINALIZADA,Devuelto al Remitente,MOSQUERA,46230,73160,13260,INTERRAPIDISIMO
EMPACADA,Enviado,FLORIDA,46230,84133,24233,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,CARTAGENA,46230,80451,20551,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,BOGOTA,46230,73160,13260,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,MEDELLIN,46230,80451,20551,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,MEDELLIN,46230,80451,20551,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,MEDELLIN,46230,80451,20551,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,YOPAL,46230,75941,16041,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,LA CRUZADA,46230,82255,22355,INTERRAPIDISIMO
