fecha_envio_utc,numero_de_guia,transportadora,ciudad_destino,valor_comercial,valor_servicio,valor_seguro_99,estado_del_envio
2026-08-20 21:32:28,240059500227,interrapidisimo,CHÍA,72698,12871.27,1742,Transito Urbano
2026-08-20 21:17:24,240059499090,interrapidisimo,CUCUNUBÁ,76561,16684.47,2268,Transito Urbano
2026-08-20 21:13:21,2220956682,servientrega,MEDELLÍN,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE
2026-08-20 21:07:56,64532741898,coordinadora,BELLO,80124,20709.62,2824,En terminal de origen
2026-08-20 20:50:50,2220956676,servientrega,DOSQUEBRADAS,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE
2026-08-20 20:42:31,64532741838,coordinadora,"BOGOTÁ, D.C.",72091,11879.82,1605,En terminal de origen
2026-08-20 20:22:04,64532741804,coordinadora,CHÍA,73106,11950.61,1615,En terminal de origen
2026-08-20 20:15:31,64532741795,coordinadora,GUACARÍ,80124,20709.62,2824,En terminal de origen
2026-08-20 20:12:21,2220956666,servientrega,CARTAGENA DE INDIAS,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE
2026-08-20 20:09:52,240059492772,interrapidisimo,RIOSUCIO,81030,25028.91,3421,Transito Urbano
2026-08-20 20:06:38,2220956661,servientrega,MEDELLÍN,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE
2026-08-20 20:03:02,240059491914,interrapidisimo,MACEO,81030,25028.91,3421,Transito Urbano
2026-08-20 19:55:46,64532741765,coordinadora,SOACHA,73106,11950.61,1615,En terminal de origen
2026-08-20 19:49:20,2220956652,servientrega,SINCELEJO,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE
2026-08-20 19:44:45,240059490004,interrapidisimo,PARATEBUENO,81030,25028.91,3421,Transito Urbano
2026-08-20 19:26:08,2220956638,servientrega,MEDELLÍN,81066,21829.90,3894,EN ALISTAMIENTO DEL CLIENTE
2026-08-19 20:19:09,240059413687,interrapidisimo,SANTIAGO DE TOLÚ,81030,25028.91,3421,Transito Urbano
2026-08-19 19:59:59,240059411366,interrapidisimo,SAN ANDRÉS DE SOTAVENTO,81030,25028.91,3421,Centro acopio
2026-08-19 19:52:57,2220956475,servientrega,DOSQUEBRADAS,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-19 19:48:59,2220956474,servientrega,CARTAGENA DE INDIAS,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-19 19:34:56,240059408673,interrapidisimo,CARTAGENA DE INDIAS,81752,22792.79,3111,Reclame en oficina
2026-08-19 19:26:22,2220956461,servientrega,MEDELLÍN,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-19 19:17:34,2220956459,servientrega,PEREIRA,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-19 18:52:11,240059403819,interrapidisimo,HISPANIA,141125,34111.78,4646,Centro acopio
2026-08-18 20:43:44,2220956331,servientrega,CARTAGENA DE INDIAS,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-18 20:36:18,240059320729,interrapidisimo,TÚQUERRES,81030,25028.91,3421,Transito Urbano
2026-08-18 20:30:49,2220956327,servientrega,"BOGOTÁ, D.C.",74398,14673.86,1991,EN PROCESAMIENTO
2026-08-18 20:25:55,240059318962,interrapidisimo,COVEÑAS,81752,22792.79,3111,Entregada
2026-08-18 20:20:34,2220956324,servientrega,CAUCASIA,142200,28037.49,3804,EN PROCESAMIENTO
2026-08-18 20:14:31,240059316765,interrapidisimo,TURBO,81030,25028.91,3421,Intento de entrega
2026-08-18 20:10:25,2220956321,servientrega,BARRANCABERMEJA,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-18 20:06:50,240059315345,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Entregada
2026-08-18 20:03:28,240059314811,interrapidisimo,AGUAZUL,76561,16684.47,2268,Entregada
2026-08-18 19:24:15,240059307016,interrapidisimo,PUERTO GAITÁN,81030,25028.91,3421,Entregada
2026-08-18 19:15:09,2220956281,servientrega,PEREIRA,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-18 19:10:09,240059305131,interrapidisimo,TOCANCIPÁ,76561,16684.47,2268,Entregada
2026-08-18 06:36:10,240059200654,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Entregada
2026-08-18 06:32:20,2220956123,servientrega,PEREIRA,135725,27608.21,3748,EN PROCESAMIENTO
2026-08-18 06:25:44,240059200612,interrapidisimo,GÓMEZ PLATA,81030,25028.91,3421,Reclame en oficina
2026-08-18 06:21:56,240059200586,interrapidisimo,ANSERMA,81030,25028.91,3421,Reclame en oficina
2026-08-18 06:15:13,240059200502,interrapidisimo,ZIPAQUIRÁ,72698,12871.27,1742,Reclame en oficina
2026-08-18 06:10:49,2220956122,servientrega,CALI,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-18 06:07:30,240059200451,interrapidisimo,MOCOA,80676,22713.78,3101,Entregada
2026-08-18 06:03:49,240059200381,interrapidisimo,BELLO,80676,22713.78,3101,Entregada
2026-08-18 05:59:08,2220956121,servientrega,SANTA ROSA DE CABAL,141845,28014.16,3801,EN PROCESAMIENTO
2026-08-18 05:49:39,2220956120,servientrega,CALI,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-18 05:46:24,240059200200,interrapidisimo,LA UNIÓN,81030,25028.91,3421,Entregada
2026-08-18 05:43:20,240059200189,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Entregada
2026-08-18 05:39:36,2220956119,servientrega,MEDELLÍN,139998,27891.23,3785,EN PROCESAMIENTO
2026-08-18 05:33:48,240059200106,interrapidisimo,EL SANTUARIO,81030,25028.91,3421,Entregada
2026-08-18 05:30:28,240059200052,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Entregada
2026-08-18 05:26:32,2220956118,servientrega,MEDELLÍN,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-18 05:23:56,240059199997,interrapidisimo,RIONEGRO,80676,22713.78,3101,Entregada
2026-08-18 05:15:34,240059199838,interrapidisimo,SAMACÁ,80676,22713.78,3101,Entregada
2026-08-18 05:12:16,240059199752,interrapidisimo,SANTA MARTA,80676,22713.78,3101,Reclame en oficina
2026-08-18 05:05:41,2220956117,servientrega,YARUMAL,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-18 04:55:26,240059199564,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Entregada
2026-08-18 04:51:36,240059199547,interrapidisimo,"BOGOTÁ, D.C.",72698,1742.00,1742,Devolución ratificada
2026-08-18 04:47:54,240059199530,interrapidisimo,VILLAVICENCIO,78713,16843.48,2289,Entregada
2026-08-18 04:44:20,240059199416,interrapidisimo,LLORENTE,81030,25028.91,3421,Transito Urbano
2026-08-18 04:40:45,2220956115,servientrega,BARRANQUILLA,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-18 04:36:50,240059199337,interrapidisimo,SAN CARLOS DE GUAROA,81030,25028.91,3421,Entregada
2026-08-18 04:33:06,240059199286,interrapidisimo,BUENAVISTA,81030,25028.91,3421,Reclame en oficina
2026-08-18 04:29:05,2220956114,servientrega,MANIZALES,80941,20770.65,2832,EN PROCESAMIENTO
2026-08-18 04:22:37,240059199107,interrapidisimo,SAN GIL,80124,24962.54,3413,Reclame en oficina
