fila,fecha,valor_servicio,valor_comercial,estado,transportadora,ciudad
83,2026-08-24,1754.00,73000,Devolucion ratificada,interrapidisimo,CHIA
84,2026-08-24,12956.14,73000,Entregada,interrapidisimo,BOGOTA
85,2026-08-24,25445.02,137000,Entregada,interrapidisimo,VILLAVICENCIO
86,2026-08-24,12956.14,73000,Reclame en oficina,interrapidisimo,CAJICA
87,2026-08-24,16810.73,77000,Entregada,interrapidisimo,VILLAVICENCIO
88,2026-08-24,12956.14,73000,Creado,interrapidisimo,CHIA
89,2026-08-24,25481.04,85000,Entregada,interrapidisimo,ACEVEDO
90,2026-08-24,25481.04,85000,Reclame en oficina,interrapidisimo,PUERTO ASIS
91,2026-08-24,25481.04,85000,Entregada,interrapidisimo,FUNES
92,2026-08-24,31773.62,138000,Reclame en oficina,interrapidisimo,EL TAMBO
93,2026-08-24,25481.04,85000,Reclame en oficina,interrapidisimo,MAGANGUE
94,2026-08-24,25481.04,85000,Entregada,interrapidisimo,SANTA ROSA DE OSOS
95,2026-08-24,31773.62,138000,Reclame en oficina,interrapidisimo,GUARNE
